# CharTokenizer Vocab
# vocab_size: 209
# type: char
--------------------------------------------------
ID       Char                 Repr
--------------------------------------------------
0        <pad>                '<pad>'
1        <unk>                '<unk>'
2        <endoftext>          '<endoftext>'
3        <user>               '<user>'
4        <assistant>          '<assistant>'
100                           ' '
101      !                    '!'
102      "                    '"'
103      $                    '$'
104      %                    '%'
105      &                    '&'
106      '                    "'"
107      (                    '('
108      )                    ')'
109      +                    '+'
110      ,                    ','
111      -                    '-'
112      .                    '.'
113      /                    '/'
114      0                    '0'
115      1                    '1'
116      2                    '2'
117      3                    '3'
118      4                    '4'
119      5                    '5'
120      6                    '6'
121      7                    '7'
122      8                    '8'
123      9                    '9'
124      :                    ':'
125      ;                    ';'
126      ?                    '?'
127      @                    '@'
128      A                    'A'
129      B                    'B'
130      C                    'C'
131      D                    'D'
132      E                    'E'
133      F                    'F'
134      G                    'G'
135      H                    'H'
136      I                    'I'
137      J                    'J'
138      K                    'K'
139      L                    'L'
140      M                    'M'
141      N                    'N'
142      O                    'O'
143      P                    'P'
144      Q                    'Q'
145      R                    'R'
146      S                    'S'
147      T                    'T'
148      U                    'U'
149      V                    'V'
150      W                    'W'
151      X                    'X'
152      Y                    'Y'
153      Z                    'Z'
154      a                    'a'
155      b                    'b'
156      c                    'c'
157      d                    'd'
158      e                    'e'
159      f                    'f'
160      g                    'g'
161      h                    'h'
162      i                    'i'
163      j                    'j'
164      k                    'k'
165      l                    'l'
166      m                    'm'
167      n                    'n'
168      o                    'o'
169      p                    'p'
170      q                    'q'
171      r                    'r'
172      s                    's'
173      t                    't'
174      u                    'u'
175      v                    'v'
176      w                    'w'
177      x                    'x'
178      y                    'y'
179      z                    'z'
180      ¥                    '¥'
181      ­                    '\xad'
182      °                    '°'
183      ²                    '²'
184      à                    'à'
185      á                    'á'
186      â                    'â'
187      ã                    'ã'
188      ç                    'ç'
189      é                    'é'
190      ê                    'ê'
191      ï                    'ï'
192      ñ                    'ñ'
193      ó                    'ó'
194      ú                    'ú'
195      ü                    'ü'
196      č                    'č'
197      ō                    'ō'
198      о                    'о'
199      ​                    '\u200b'
200      –                    '–'
201      —                    '—'
202      ‘                    '‘'
203      ’                    '’'
204      “                    '“'
205      ”                    '”'
206      ′                    '′'
207      ₂                    '₂'
208      €                    '€'
